county,date,infected_total,infected_diff,death_total,death_diff,latest_cty_updt,note
Alameda,2020-05-15,2300,66,82,3,2020-05-15,
Alameda,2020-05-14,2234,56,79,3,2020-05-14,
Alameda,2020-05-13,2178,45,76,2,2020-05-13,
Alameda,2020-05-12,2133,32,74,3,2020-05-12,
Alameda,2020-05-11,2101,37,71,0,2020-05-11,
Alameda,2020-05-10,2064,41,71,0,2020-05-10,
Alameda,2020-05-09,2023,62,71,1,2020-05-09,
Alameda,2020-05-08,1961,44,70,3,2020-05-08,
Alameda,2020-05-07,1917,54,67,1,2020-05-07,
Alameda,2020-05-06,1863,54,66,0,2020-05-06,
Alameda,2020-05-05,1809,33,66,3,2020-05-05,
Alameda,2020-05-04,1776,27,63,0,2020-05-04,
Alameda,2020-05-03,1749,43,63,0,2020-05-03,
Alameda,2020-05-02,1706,70,63,1,2020-05-02,
Alameda,2020-05-01,1636,33,62,2,2020-05-01,
Alameda,2020-04-30,1603,35,60,3,2020-04-30,
Alameda,2020-04-29,1568,35,57,2,2020-04-29,
Alameda,2020-04-28,1533,33,55,3,2020-04-28,
Alameda,2020-04-27,1500,30,52,0,2020-04-27,
Alameda,2020-04-26,1470,31,52,0,2020-04-26,
Alameda,2020-04-25,1439,36,52,4,2020-04-25,
Alameda,2020-04-24,1403,51,48,3,2020-04-24,
Alameda,2020-04-23,1352,70,45,0,2020-04-23,
Alameda,2020-04-22,1282,41,45,2,2020-04-22,
Alameda,2020-04-21,1241,48,43,1,2020-04-21,
Alameda,2020-04-20,1193,29,42,0,2020-04-20,
Alameda,2020-04-19,1164,50,42,0,2020-04-19,
Alameda,2020-04-18,1114,51,42,2,2020-04-18,
Alameda,2020-04-17,1063,54,40,1,2020-04-17,
Alameda,2020-04-16,1009,45,39,3,,
Alameda,2020-04-15,964,77,36,13,,
Alameda,2020-04-14,887,-1,23,0,,
Alameda,2020-04-13,888,43,23,0,,
Alameda,2020-04-12,845,37,23,2,,
Alameda,2020-04-11,808,40,21,1,,
Alameda,2020-04-10,768,53,20,3,,
Alameda,2020-04-09,715,41,17,1,,
Alameda,2020-04-08,674,40,16,1,,
Alameda,2020-04-07,634,46,15,2,,
Alameda,2020-04-06,588,22,13,1,,
Alameda,2020-04-05,566,29,12,0,,
Alameda,2020-04-04,537,94,12,0,,
Alameda,2020-04-03,443,47,12,3,,
Alameda,2020-04-02,396,37,9,1,,
Alameda,2020-04-01,359,46,8,1,,
Alameda,2020-03-31,313,30,7,0,,
Alameda,2020-03-30,283,13,7,0,,
Alameda,2020-03-29,270,14,7,1,,
Alameda,2020-03-28,256,36,6,2,,
Alameda,2020-03-27,220,42,4,0,,
Alameda,2020-03-26,178,43,4,2,,
Alameda,2020-03-25,135,0,2,0,,
Alameda,2020-03-24,135,13,2,1,,
Alameda,2020-03-23,122,16,1,1,,
Alameda,2020-03-22,106,35,0,0,,
Alameda,2020-03-21,71,21,0,0,,
Alameda,2020-03-20,50,12,0,0,,
Alameda,2020-03-19,38,4,0,0,,
Alameda,2020-03-18,34,4,0,0,,
Alameda,2020-03-17,30,9,0,0,,
Alameda,2020-03-16,21,3,0,0,,
Alameda,2020-03-15,18,8,0,0,,
